symbol,companyName,isin,industry
ASIANPAINT,Asian Paints Limited,INE021A01026,Paints
GRASIM,Grasim Industries Limited,INE047A01021,Cement & Cement Products
HINDUNILVR,Hindustan Unilever Limited,INE030A01027,Diversified FMCG
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,Hospital
ULTRACEMCO,UltraTech Cement Limited,INE481G01011,Cement & Cement Products
SUNPHARMA,Sun Pharmaceutical Industries Limited,INE044A01036,Pharmaceuticals
HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,Refineries & Marketing
NESTLEIND,Nestle India Limited,INE239A01024,Packaged Foods
RELIANCE,Reliance Industries Limited,INE002A01018,Refineries & Marketing
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,Holding Company
BRITANNIA,Britannia Industries Limited,INE216A07052,Packaged Foods
HDFCBANK,HDFC Bank Limited,INE040A01034,Private Sector Bank
DIVISLAB,Divi's Laboratories Limited,INE361B01024,Pharmaceuticals
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01028,Private Sector Bank
INDUSINDBK,IndusInd Bank Limited,INE095A01012,Private Sector Bank
JSWSTEEL,JSW Steel Limited,INE019A04024,Iron & Steel
HDFCLIFE,HDFC Life Insurance Company Limited,INE795G01014,Life Insurance
TECHM,Tech Mahindra Limited,INE669C01036,Computers - Software & Consulting
BHARTIARTL,Bharti Airtel Limited,INE397D01024,Telecom - Cellular & Fixed line services
TITAN,Titan Company Limited,INE280A07025,Gems Jewellery And Watches
ITC,ITC Limited,INE154A01025,Diversified FMCG
HCLTECH,HCL Technologies Limited,INE860A01027,Computers - Software & Consulting
NTPC,NTPC Limited,INE733E07JE0,Power Generation
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,Tea & Coffee
CIPLA,Cipla Limited,INE059A01026,Pharmaceuticals
EICHERMOT,Eicher Motors Limited,INE066A01021,2/3 Wheelers
TATASTEEL,Tata Steel Limited,INE081A01020,Iron & Steel
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,Power - Transmission
BAJFINANCE,Bajaj Finance Limited,INE296A01024,Non Banking Financial Company (NBFC)
MARUTI,Maruti Suzuki India Limited,INE585B01010,Passenger Cars & Utility Vehicles
SBILIFE,SBI Life Insurance Company Limited,INE123W01016,Life Insurance
ICICIBANK,ICICI Bank Limited,IN9090A01045,Private Sector Bank
SHRIRAMFIN,Shriram Finance Limited,INE721A07NZ0,Non Banking Financial Company (NBFC)
TATAMOTORS,Tata Motors Limited,INE155A01022,Passenger Cars & Utility Vehicles
TCS,Tata Consultancy Services Limited,INE467B01029,Computers - Software & Consulting
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,2/3 Wheelers
SBIN,State Bank of India,INE062A08041,Public Sector Bank
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Port & Port services
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A08051,Pharmaceuticals
AXISBANK,Axis Bank Limited,INE238A01034,Private Sector Bank
LTIM,LTIMindtree Limited,INE214T01019,Computers - Software & Consulting
INFY,Infosys Limited,INE009A01021,Computers - Software & Consulting
ADANIENT,Adani Enterprises Limited,INE423A01024,Trading - Minerals
LT,Larsen & Toubro Limited,INE018A01030,Civil Construction
M&M,Mahindra & Mahindra Limited,INE101A01026,Passenger Cars & Utility Vehicles
HINDALCO,Hindalco Industries Limited,IN9038A01010,Aluminium
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,Oil Exploration & Production
COALINDIA,Coal India Limited,INE522F01014,Coal
WIPRO,Wipro Limited,INE075A01022,Computers - Software & Consulting
